"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"20" "SS18" "ENST00000415083" "1" "1152" "SSX1" "ENST00000376919" "417" "1298"
"21" "SS18" "ENST00000415083" "1" "1286" "SSX2" "NM_003147.4" "439" "1448"
"22" "SS18" "ENST00000415083" "1" "1286" "SSX1" "ENST00000376919" "467" "1298"
"23" "SS18" "ENST00000415083" "1" "1286" "SSX4" "ENST00000376886" "494" "1322"
"24" "SS18" "ENST00000415083" "1" "1286" "SSX2" "NM_003147.4" "342" "1448"
"25" "SS18" "ENST00000415083" "1" "1286" "SSX4" "ENST00000376886" "233" "1322"
"26" "EWSR1" "ENST00000397938" "1" "1112" "FLI1" "ENST00000429175" "854" "3051"
"27" "EWSR1" "ENST00000397938" "1" "1112" "ERG" "ENST00000442448" "1141" "5034"
"28" "EWSR1" "ENST00000397938" "1" "1112" "ERG" "ENST00000442448" "967" "5034"
"29" "EWSR1" "ENST00000397938" "1" "1112" "FLI1" "ENST00000429175" "920" "3051"
"30" "EWSR1" "ENST00000397938" "1" "1364" "FLI1" "ENST00000429175" "854" "3051"
"31" "EWSR1" "ENST00000397938" "1" "1364" "FLI1" "ENST00000429175" "920" "3051"
"32" "EWSR1" "ENST00000397938" "1" "932" "ERG" "ENST00000442448" "1099" "5034"
"33" "EWSR1" "ENST00000397938" "1" "1112" "ERG" "ENST00000442448" "1093" "5034"
"34" "EWSR1" "ENST00000397938" "1" "1364" "ERG" "ENST00000442448" "967" "5034"
"35" "EWSR1" "ENST00000397938" "1" "1112" "FLI1" "ENST00000429175" "1046" "3051"
"36" "EWSR1" "ENST00000397938" "1" "1331" "FLI1" "ENST00000429175" "650" "3051"
"37" "EWSR1" "ENST00000397938" "1" "1293" "FLI1" "ENST00000429175" "986" "3051"
"38" "EWSR1" "ENST00000397938" "1" "1293" "FLI1" "ENST00000429175" "920" "3051"
"39" "EWSR1" "ENST00000397938" "1" "1331" "FLI1" "ENST00000429175" "986" "3051"
"40" "EWSR1" "ENST00000397938" "1" "1364" "FLI1" "ENST00000429175" "1046" "3051"
"41" "EWSR1" "ENST00000397938" "1" "1112" "ERG" "ENST00000442448" "1036" "5034"
"42" "EWSR1" "ENST00000397938" "1" "1112" "FLI1" "ENST00000429175" "986" "3051"
"43" "PAX3" "ENST00000392069" "1" "1539" "FOXO1" "ENST00000379561" "1016" "5722"
"44" "PAX7" "ENST00000375375" "1" "1753" "FOXO1" "ENST00000379561" "1016" "5722"
"45" "EML4" "ENST00000318522" "1" "1751" "ALK" "ENST00000389048" "4080" "6220"
"46" "EWSR1" "ENST00000397938" "1" "1112" "ETV1" "ENST00000430479" "1609" "6740"
"47" "FCHSD1" "ENST00000435817" "1" "1362" "BRAF" "ENST00000288602" "1202" "2480"
"48" "EWSR1" "ENST00000397938" "1" "1112" "WT1" "NM_024426.2" "1242" "2825"
"49" "EWSR1" "ENST00000397938" "1" "1331" "WT1" "NM_024426.2" "1242" "2825"
"50" "EWSR1" "ENST00000397938" "1" "1364" "WT1" "NM_024426.2" "1242" "2825"
"51" "EWSR1" "ENST00000397938" "1" "1293" "WT1" "NM_024426.2" "1242" "2825"
"52" "EWSR1" "ENST00000397938" "1" "1112" "WT1" "NM_024426.2" "1332" "2825"
"53" "EWSR1" "ENST00000397938" "1" "1364" "FEV" "ENST00000295727" "635" "1879"
"54" "NPM1" "ENST00000517671" "1" "487" "ALK" "ENST00000389048" "4080" "6220"
"55" "NPM1" "ENST00000517671" "1" "487" "ALK" "ENST00000389048" "4108" "6220"
"56" "EWSR1" "ENST00000397938" "1" "1112" "FEV" "ENST00000295727" "635" "1879"
"57" "EWSR1" "ENST00000397938" "1" "1112" "SP3" "ENST00000310015" "2411" "6359"
"58" "EWSR1" "ENST00000397938" "1" "1293" "SP3" "ENST00000310015" "2364" "6359"
"59" "EWSR1" "ENST00000397938" "1" "1112" "ETV4" "ENST00000319349" "1073" "2391"
"60" "EWSR1" "ENST00000397938" "1" "1293" "ATF1" "ENST00000262053" "217" "2181"
"61" "ATF1" "ENST00000262053" "1" "216" "EWSR1" "ENST00000397938" "1332" "2654"
"62" "EWSR1" "ENST00000397938" "1" "1112" "ATF1" "ENST00000262053" "351" "2181"
"63" "EWSR1" "ENST00000397938" "1" "1364" "ATF1" "ENST00000262053" "351" "2181"
"64" "EWSR1" "ENST00000397938" "1" "1112" "ATF1" "ENST00000262053" "694" "2181"
"65" "EWSR1" "ENST00000397938" "1" "732" "WT1" "NM_024426.2" "1425" "2825"
"66" "EWSR1" "ENST00000397938" "1" "1293" "WT1" "NM_024426.2" "1425" "2825"
"67" "FUS" "ENST00000254108" "1" "904" "DDIT3" "ENST00000547303" "76" "872"
"68" "FUS" "ENST00000254108" "1" "628" "DDIT3" "ENST00000547303" "76" "872"
"69" "FUS" "ENST00000254108" "1" "937" "DDIT3" "ENST00000547303" "76" "872"
"70" "EWSR1" "ENST00000397938" "1" "1112" "DDIT3" "ENST00000547303" "76" "872"
"71" "EWSR1" "ENST00000397938" "1" "1364" "DDIT3" "ENST00000547303" "76" "872"
"72" "EWSR1" "ENST00000397938" "1" "1112" "FLI1" "ENST00000429175" "1094" "3051"
"73" "TAF15" "ENST00000311979" "1" "570" "NR4A3" "ENST00000395097" "728" "3794"
"74" "EWSR1" "ENST00000397938" "1" "1613" "NR4A3" "ENST00000395097" "728" "3794"
"75" "EWSR1" "ENST00000397938" "1" "1112" "NR4A3" "ENST00000395097" "554" "3794"
"76" "EWSR1" "ENST00000397938" "1" "1474" "NR4A3" "ENST00000395097" "550" "3794"
"77" "EWSR1" "ENST00000397938" "1" "1483" "NR4A3" "ENST00000395097" "550" "3794"
"78" "EWSR1" "ENST00000397938" "1" "1543" "NR4A3" "ENST00000395097" "728" "3794"
"79" "EWSR1" "ENST00000397938" "1" "1736" "NR4A3" "ENST00000395097" "728" "3794"
"80" "EWSR1" "ENST00000397938" "1" "1613" "NR4A3" "ENST00000395097" "554" "3794"
"81" "EWSR1" "ENST00000397938" "1" "1736" "DDIT3" "ENST00000547303" "76" "872"
"82" "EWSR1" "ENST00000397938" "1" "1112" "CREB1" "ENST00000432329" "799" "7650"
"83" "FOXO1" "ENST00000379561" "1" "1015" "PAX3" "ENST00000392069" "1540" "3170"
"84" "EWSR1" "ENST00000397938" "1" "1736" "DDIT3" "ENST00000547303" "142" "872"
"85" "EWSR1" "ENST00000397938" "1" "1293" "PATZ1" "ENST00000215919" "933" "2516"
"86" "NCOA4" "ENST00000452682" "1" "1014" "RET" "ENST00000355710" "2369" "5659"
"87" "PAX3" "ENST00000392069" "1" "1324" "NCOA1" "ENST00000406961" "3252" "7289"
"88" "FUS" "ENST00000254108" "1" "1501" "DDIT3" "ENST00000547303" "76" "872"
"89" "FUS" "ENST00000254108" "1" "295" "DDIT3" "ENST00000547303" "76" "872"
"90" "FUS" "ENST00000254108" "1" "1171" "FEV" "ENST00000295727" "635" "1879"
"91" "FUS" "ENST00000254108" "1" "628" "ATF1" "ENST00000262053" "351" "2181"
"92" "EWSR1" "ENST00000397938" "1" "1364" "ATF1" "ENST00000262053" "217" "2181"
"93" "FUS" "ENST00000254108" "1" "760" "DDIT3" "ENST00000547303" "76" "872"
"94" "FUS" "ENST00000254108" "1" "869" "DDIT3" "ENST00000547303" "76" "872"
"95" "FUS" "ENST00000254108" "1" "859" "ERG" "ENST00000442448" "1141" "5034"
"96" "FUS" "ENST00000254108" "1" "904" "ERG" "ENST00000442448" "1093" "5034"
"97" "FUS" "ENST00000254108" "1" "904" "ERG" "ENST00000442448" "1141" "5034"
"98" "FUS" "ENST00000254108" "1" "869" "ERG" "ENST00000442448" "1141" "5034"
"99" "EWSR1" "ENST00000397938" "1" "841" "POU5F1" "ENST00000259915" "460" "3262"
"100" "EWSR1" "ENST00000397938" "1" "900" "POU5F1" "ENST00000259915" "460" "3262"
"101" "EML4" "ENST00000318522" "1" "2504" "ALK" "ENST00000389048" "4080" "6220"
"102" "FUS" "ENST00000254108" "1" "883" "CREB3L2" "ENST00000330387" "1026" "7412"
"103" "FUS" "ENST00000254108" "1" "904" "CREB3L2" "ENST00000330387" "936" "7412"
"104" "CREB3L2" "ENST00000330387" "1" "1025" "FUS" "ENST00000254108" "898" "2054"
"105" "CREB3L2" "ENST00000330387" "1" "1120" "FUS" "ENST00000254108" "870" "2054"
"106" "FUS" "ENST00000254108" "1" "805" "CREB3L2" "ENST00000330387" "1026" "7412"
"107" "FUS" "ENST00000254108" "1" "869" "CREB3L2" "ENST00000330387" "936" "7412"
"108" "FUS" "ENST00000254108" "1" "562" "CREB3L2" "ENST00000330387" "1104" "7412"
"109" "FUS" "ENST00000254108" "1" "869" "CREB3L2" "ENST00000330387" "1036" "7412"
"110" "FUS" "ENST00000254108" "1" "904" "CREB3L2" "ENST00000330387" "996" "7412"
"111" "FUS" "ENST00000254108" "1" "727" "CREB3L2" "ENST00000330387" "1017" "7412"
"112" "CREB3L2" "ENST00000330387" "1" "1020" "FUS" "ENST00000254108" "732" "2054"
"113" "CREB3L2" "ENST00000330387" "1" "1120" "FUS" "ENST00000254108" "629" "2054"
"114" "FUS" "ENST00000254108" "1" "869" "CREB3L2" "ENST00000330387" "1003" "7412"
"115" "FUS" "ENST00000254108" "1" "876" "CREB3L2" "ENST00000330387" "1013" "7412"
"116" "CREB3L2" "ENST00000330387" "1" "454" "FUS" "ENST00000254108" "905" "2054"
"117" "FUS" "ENST00000254108" "1" "753" "CREB3L2" "ENST00000330387" "1021" "7412"
"118" "FUS" "ENST00000254108" "1" "937" "ERG" "ENST00000442448" "1036" "5034"
"119" "FUS" "ENST00000254108" "1" "710" "CREB3L2" "ENST00000330387" "1030" "7412"
"120" "FUS" "ENST00000254108" "1" "760" "CREB3L2" "ENST00000330387" "1029" "7412"
"121" "FUS" "ENST00000254108" "1" "765" "CREB3L2" "ENST00000330387" "1022" "7412"
"122" "FUS" "ENST00000254108" "1" "787" "CREB3L2" "ENST00000330387" "999" "7412"
"123" "FUS" "ENST00000254108" "1" "734" "CREB3L2" "ENST00000330387" "1060" "7412"
"124" "FUS" "ENST00000254108" "1" "771" "CREB3L2" "ENST00000330387" "1064" "7412"
"125" "FUS" "ENST00000254108" "1" "868" "CREB3L2" "ENST00000330387" "1056" "7412"
"126" "FUS" "ENST00000254108" "1" "871" "CREB3L2" "ENST00000330387" "1026" "7412"
"127" "FUS" "ENST00000254108" "1" "869" "CREB3L2" "ENST00000330387" "979" "7412"
"128" "EWSR1" "ENST00000397938" "1" "1112" "ZNF384" "ENST00000396795" "439" "3286"
"129" "EWSR1" "ENST00000397938" "1" "1112" "ZNF384" "ENST00000396795" "1" "3286"
"130" "EWSR1" "ENST00000397938" "1" "1112" "ZNF384" "ENST00000396795" "494" "3286"
"131" "EWSR1" "ENST00000397938" "1" "1293" "PBX1" "ENST00000420696" "890" "6635"
"132" "EWSR1" "ENST00000397938" "1" "1112" "PBX1" "ENST00000420696" "890" "6635"
"133" "FUS" "ENST00000254108" "1" "832" "CREB3L2" "ENST00000330387" "1065" "7412"
"134" "FUS" "ENST00000254108" "1" "869" "CREB3L2" "ENST00000330387" "1054" "7412"
"135" "ASPSCR1" "ENST00000306739" "1" "1030" "TFE3" "ENST00000315869" "1146" "3415"
"136" "ASPSCR1" "ENST00000306739" "1" "1030" "TFE3" "ENST00000315869" "1041" "3415"
"137" "RAF1" "ENST00000251849" "1" "1274" "DAZL" "ENST00000399444" "298" "3050"
"138" "TECTA" "ENST00000392793" "1" "1474" "TBCEL" "ENST00000529397" "1057" "1375"
"139" "BBS9" "ENST00000242067" "1" "1537" "PKD1L1" "ENST00000289672" "3494" "9092"
"140" "NTN1" "ENST00000173229" "1" "1518" "ACLY" "ENST00000352035" "1197" "4339"
"141" "SEPT8" "ENST00000296873" "1" "314" "AFF4" "ENST00000265343" "3480" "9552"
"142" "FBXL18" "NM_024963.2" "1" "112" "RNF216" "ENST00000389902" "2721" "3293"
"143" "ETV6" "ENST00000396373" "1" "437" "ITPR2" "ENST00000381340" "5048" "10511"
"144" "FGFR1" "ENST00000447712" "1" "2919" "ZNF703" "ENST00000331569" "473" "3347"
"145" "HN1" "ENST00000356033" "1" "334" "USH1G" "ENST00000319642" "1566" "3561"
"146" "NF1" "ENST00000358273" "1" "4091" "ASIC2" "ENST00000225823" "1582" "3443"
"147" "SSH2" "ENST00000269033" "1" "259" "SUZ12" "ENST00000322652" "1053" "4491"
"148" "EML4" "ENST00000318522" "1" "929" "ALK" "ENST00000389048" "4080" "6220"
"149" "EML4" "ENST00000318522" "1" "1969" "ALK" "ENST00000389048" "4151" "6220"
"150" "EML4" "ENST00000318522" "1" "2029" "ALK" "ENST00000389048" "4080" "6220"
"151" "RANBP2" "ENST00000283195" "1" "2728" "ALK" "ENST00000389048" "4080" "6220"
"152" "TPM3" "ENST00000368533" "1" "717" "ALK" "ENST00000389048" "4080" "6220"
"153" "ATIC" "ENST00000236959" "1" "1014" "ALK" "ENST00000389048" "4080" "6220"
"154" "MSN" "ENST00000360270" "1" "1516" "ALK" "ENST00000389048" "4097" "6220"
"155" "TFG" "ENST00000240851" "1" "1061" "ALK" "ENST00000389048" "4080" "6220"
"156" "TFG" "ENST00000240851" "1" "755" "ALK" "ENST00000389048" "4080" "6220"
"157" "TFG" "ENST00000240851" "1" "920" "ALK" "ENST00000389048" "4080" "6220"
"158" "CLTC" "ENST00000269122" "1" "5177" "ALK" "ENST00000389048" "4080" "6220"
"159" "CARS" "ENST00000397111" "1" "2065" "ALK" "ENST00000389048" "4080" "6220"
"160" "TPM4" "ENST00000300933" "1" "905" "ALK" "ENST00000389048" "4080" "6220"
"161" "SEC31A" "ENST00000348405" "1" "2904" "ALK" "ENST00000389048" "4080" "6220"
"162" "SEC31A" "ENST00000348405" "1" "2562" "ALK" "ENST00000389048" "4080" "6220"
"163" "KIAA1549" "ENST00000242365" "1" "5097" "BRAF" "ENST00000288602" "1202" "2480"
"164" "KIAA1549" "ENST00000242365" "1" "4779" "BRAF" "ENST00000288602" "1202" "2480"
"165" "KIAA1549" "ENST00000242365" "1" "5097" "BRAF" "ENST00000288602" "1376" "2480"
"166" "SSBP2" "ENST00000320672" "1" "583" "JAK2" "ENST00000381652" "1821" "5285"
"167" "SSBP2" "ENST00000320672" "1" "493" "JAK2" "ENST00000381652" "1821" "5285"
"168" "SSBP2" "ENST00000320672" "1" "408" "JAK2" "ENST00000381652" "1821" "5285"
"169" "EML4" "ENST00000318522" "1" "470" "ALK" "ENST00000389048" "4080" "6220"
"170" "COL1A1" "ENST00000225964" "1" "2102" "PDGFB" "ENST00000331163" "852" "3497"
"171" "COL1A1" "ENST00000225964" "1" "2678" "PDGFB" "ENST00000331163" "852" "3497"
"172" "COL1A1" "ENST00000225964" "1" "3164" "PDGFB" "ENST00000331163" "852" "3497"
"173" "COL1A1" "ENST00000225964" "1" "2732" "PDGFB" "ENST00000331163" "852" "3497"
"174" "COL1A1" "ENST00000225964" "1" "1733" "PDGFB" "ENST00000331163" "852" "3497"
"175" "COL1A1" "ENST00000225964" "1" "1940" "PDGFB" "ENST00000331163" "852" "3497"
"176" "COL1A1" "ENST00000225964" "1" "1886" "PDGFB" "ENST00000331163" "852" "3497"
"177" "COL1A1" "ENST00000225964" "1" "3326" "PDGFB" "ENST00000331163" "852" "3497"
"178" "COL1A1" "ENST00000225964" "1" "662" "PDGFB" "ENST00000331163" "852" "3497"
"179" "COL1A1" "ENST00000225964" "1" "707" "PDGFB" "ENST00000331163" "852" "3497"
"180" "COL1A1" "ENST00000225964" "1" "1022" "PDGFB" "ENST00000331163" "852" "3497"
"181" "COL1A1" "ENST00000225964" "1" "1171" "PDGFB" "ENST00000331163" "852" "3497"
"182" "COL1A1" "ENST00000225964" "1" "1175" "PDGFB" "ENST00000331163" "852" "3497"
"183" "COL1A1" "ENST00000225964" "1" "1274" "PDGFB" "ENST00000331163" "852" "3497"
"184" "COL1A1" "ENST00000225964" "1" "2354" "PDGFB" "ENST00000331163" "852" "3497"
"185" "COL1A1" "ENST00000225964" "1" "2462" "PDGFB" "ENST00000331163" "852" "3497"
"186" "COL1A1" "ENST00000225964" "1" "2516" "PDGFB" "ENST00000331163" "852" "3497"
"187" "COL1A1" "ENST00000225964" "1" "2948" "PDGFB" "ENST00000331163" "852" "3497"
"188" "COL1A1" "ENST00000225964" "1" "3218" "PDGFB" "ENST00000331163" "852" "3497"
"189" "COL1A1" "ENST00000225964" "1" "3488" "PDGFB" "ENST00000331163" "852" "3497"
"190" "COL1A1" "ENST00000225964" "1" "3542" "PDGFB" "ENST00000331163" "852" "3497"
"191" "COL1A1" "ENST00000225964" "1" "3650" "PDGFB" "ENST00000331163" "852" "3497"
"192" "COL1A1" "ENST00000225964" "1" "2246" "PDGFB" "ENST00000331163" "852" "3497"
"193" "COL1A1" "ENST00000225964" "1" "923" "PDGFB" "ENST00000331163" "852" "3497"
"194" "COL1A1" "ENST00000225964" "1" "869" "PDGFB" "ENST00000331163" "852" "3497"
"195" "EML4" "ENST00000318522" "1" "2318" "ALK" "ENST00000389048" "4080" "6220"
"196" "KMT2A" "NM_005933.1" "1" "4012" "SEPT9" "ENST00000427177" "146" "3821"
"197" "JAZF1" "ENST00000283928" "1" "551" "SUZ12" "ENST00000322652" "504" "4491"
"198" "BCR" "ENST00000305877" "1" "3458" "JAK2" "ENST00000381652" "1830" "5285"
"199" "ETV6" "ENST00000396373" "1" "1283" "NTRK3" "ENST00000394480" "1908" "19984"
"200" "PRCC" "ENST00000271526" "1" "740" "TFE3" "ENST00000315869" "1041" "3415"
"201" "PRCC" "ENST00000271526" "1" "788" "TFE3" "ENST00000315869" "1146" "3415"
"202" "TFE3" "ENST00000315869" "1" "1040" "ASPSCR1" "ENST00000306739" "1031" "1843"
"203" "TFE3" "ENST00000315869" "1" "854" "ASPSCR1" "ENST00000306739" "1031" "1843"
"204" "TFE3" "ENST00000315869" "1" "1145" "ASPSCR1" "ENST00000306739" "1031" "1843"
"205" "ETV6" "ENST00000396373" "1" "1283" "JAK2" "ENST00000381652" "2929" "5285"
"206" "JAK2" "ENST00000381652" "1" "2928" "ETV6" "ENST00000396373" "1284" "2211"
"207" "KIAA1549" "ENST00000242365" "1" "5302" "BRAF" "ENST00000288602" "1239" "2480"
"208" "KIAA1549" "ENST00000242365" "1" "5448" "BRAF" "ENST00000288602" "1202" "2480"
"209" "SRGAP3" "ENST00000383836" "1" "1864" "RAF1" "ENST00000251849" "1275" "3300"
"210" "SS18" "ENST00000415083" "1" "1286" "SSX1" "ENST00000376919" "431" "1298"
"211" "SS18" "ENST00000415083" "1" "1286" "SSX1" "ENST00000376919" "417" "1298"
"212" "KIF5B" "ENST00000302418" "1" "3219" "ALK" "NM_004304" "4080" "6222"
"213" "EML4" "ENST00000318522" "1" "1903" "ALK" "ENST00000389048" "4094" "6220"
"214" "EML4" "ENST00000318522" "1" "1903" "ALK" "ENST00000389048" "4080" "6220"
"215" "SS18" "ENST00000415083" "1" "1286" "SSX4" "ENST00000376886" "630" "1322"
"216" "SS18" "ENST00000415083" "1" "1152" "SSX1" "ENST00000376919" "321" "1298"
"217" "COL1A1" "ENST00000225964" "1" "1319" "PDGFB" "ENST00000331163" "852" "3497"
"218" "COL1A1" "ENST00000225964" "1" "1418" "PDGFB" "ENST00000331163" "852" "3497"
"219" "TMPRSS2" "ENST00000332149" "1" "150" "ERG" "ENST00000442448" "226" "5034"
"220" "SLC45A3" "ENST00000367145" "1" "66" "ERG" "ENST00000442448" "312" "5034"
"221" "NDRG1" "ENST00000323851" "1" "221" "ERG" "ENST00000442448" "312" "5034"
"222" "NDRG1" "ENST00000323851" "1" "185" "ERG" "ENST00000442448" "312" "5034"
"223" "SFPQ" "ENST00000357214" "1" "2085" "TFE3" "ENST00000315869" "1146" "3415"
"224" "NONO" "ENST00000276079" "1" "1336" "TFE3" "ENST00000315869" "1146" "3415"
"225" "SFPQ" "ENST00000357214" "1" "1914" "TFE3" "ENST00000315869" "1047" "3415"
"226" "SFPQ" "ENST00000357214" "1" "1914" "TFE3" "ENST00000315869" "1041" "3415"
"227" "COL1A1" "ENST00000225964" "1" "1994" "PDGFB" "ENST00000331163" "852" "3497"
"228" "COL1A1" "ENST00000225964" "1" "2786" "PDGFB" "ENST00000331163" "852" "3497"
"229" "TFG" "ENST00000240851" "1" "1160" "NR4A3" "ENST00000395097" "728" "3794"
"230" "FUS" "ENST00000254108" "1" "628" "ERG" "ENST00000442448" "967" "5034"
"231" "CRTC1" "ENST00000321949" "1" "214" "MAML2" "ENST00000524717" "1799" "7106"
"232" "FUS" "ENST00000254108" "1" "628" "CREB3L2" "ENST00000330387" "936" "7412"
"233" "FUS" "ENST00000254108" "1" "869" "CREB3L2" "ENST00000330387" "988" "7412"
"234" "FUS" "ENST00000254108" "1" "1031" "CREB3L1" "ENST00000529193" "1120" "2687"
"235" "FUS" "ENST00000254108" "1" "1041" "CREB3L1" "ENST00000529193" "1047" "2687"
"236" "FUS" "ENST00000254108" "1" "827" "CREB3L2" "ENST00000330387" "1018" "7412"
"237" "FUS" "ENST00000254108" "1" "760" "CREB3L2" "ENST00000330387" "1023" "7412"
"238" "FUS" "ENST00000254108" "1" "894" "CREB3L2" "ENST00000330387" "1010" "7412"
"239" "FUS" "ENST00000254108" "1" "904" "ERG" "ENST00000442448" "967" "5034"
"240" "COL1A1" "ENST00000225964" "1" "3056" "PDGFB" "ENST00000331163" "852" "3497"
"241" "COL1A1" "ENST00000225964" "1" "4124" "PDGFB" "ENST00000331163" "852" "3497"
"242" "COL1A1" "ENST00000225964" "1" "2147" "PDGFB" "ENST00000331163" "852" "3497"
"243" "COL1A1" "ENST00000225964" "1" "761" "PDGFB" "ENST00000331163" "852" "3497"
"244" "SRGAP3" "ENST00000383836" "1" "1967" "RAF1" "ENST00000251849" "1431" "3300"
"245" "BCR" "ENST00000305877" "1" "2030" "JAK2" "ENST00000381652" "2929" "5285"
"246" "MYB" "ENST00000341911" "1" "2368" "NFIB" "ENST00000397581" "2069" "3318"
"247" "MYB" "ENST00000341911" "1" "2368" "NFIB" "ENST00000397581" "2592" "3318"
"248" "MYB" "ENST00000341911" "1" "2368" "NFIB" "ENST00000397581" "2254" "3318"
"249" "MYB" "ENST00000341911" "1" "2368" "NFIB" "ENST00000397581" "2503" "3318"
"250" "MYB" "ENST00000341911" "1" "1147" "NFIB" "ENST00000397581" "2503" "3318"
"251" "MYB" "ENST00000341911" "1" "2149" "NFIB" "ENST00000397581" "2503" "3318"
"252" "MYB" "ENST00000341911" "1" "2149" "NFIB" "ENST00000397581" "2592" "3318"
"253" "MYB" "ENST00000341911" "1" "1147" "NFIB" "ENST00000397581" "2592" "3318"
"254" "MYB" "ENST00000341911" "1" "1147" "NFIB" "ENST00000397581" "2254" "3318"
"255" "MYB" "ENST00000341911" "1" "2368" "NFIB" "ENST00000397581" "2420" "3318"
"256" "TCF12" "ENST00000438423" "1" "621" "NR4A3" "ENST00000395097" "728" "3794"
"257" "HMGA2" "ENST00000403681" "1" "1422" "NFIB" "ENST00000397581" "2592" "3318"
"258" "HMGA2" "ENST00000403681" "1" "1389" "NFIB" "ENST00000397581" "2592" "3318"
"259" "HMGA2" "ENST00000403681" "1" "1389" "LPP" "ENST00000312675" "1657" "18278"
"260" "CLTC" "ENST00000269122" "1" "3070" "TFE3" "ENST00000315869" "1146" "3415"
"261" "SFPQ" "ENST00000357214" "1" "2085" "TFE3" "ENST00000315869" "1041" "3415"
"262" "PRCC" "ENST00000271526" "1" "740" "TFE3" "ENST00000315869" "795" "3415"
"263" "TFE3" "ENST00000315869" "1" "794" "PRCC" "ENST00000271526" "741" "2103"
"264" "PRCC" "ENST00000271526" "1" "1451" "TFE3" "ENST00000315869" "795" "3415"
"265" "COL1A1" "ENST00000225964" "1" "3933" "PDGFB" "ENST00000331163" "852" "3497"
"266" "COL1A1" "ENST00000225964" "1" "1472" "PDGFB" "ENST00000331163" "852" "3497"
"267" "BRD4" "ENST00000263377" "1" "2380" "C15orf55" "ENST00000333756" "172" "3795"
"268" "BRD4" "ENST00000263377" "1" "2380" "C15orf55" "ENST00000333756" "78" "3795"
"269" "ETV6" "ENST00000396373" "1" "737" "NTRK3" "ENST00000394480" "1908" "19984"
"270" "NTRK3" "ENST00000394480" "1" "1907" "ETV6" "ENST00000396373" "1284" "2211"
"271" "BCR" "ENST00000305877" "1" "4073" "ABL1" "ENST00000318560" "461" "5766"
"272" "SLC45A3" "ENST00000367145" "1" "66" "BRAF" "ENST00000288602" "1201" "2480"
"273" "SLC45A3" "ENST00000367145" "1" "66" "BRAF" "ENST00000288602" "1042" "2480"
"274" "ESRP1" "ENST00000358397" "1" "1953" "RAF1" "ENST00000251849" "1286" "3300"
"275" "RAF1" "ENST00000251849" "1" "1285" "ESRP1" "ENST00000358397" "1954" "3756"
"276" "AGTRAP" "ENST00000314340" "1" "528" "BRAF" "ENST00000288602" "1201" "2480"
"277" "AGTRAP" "ENST00000314340" "1" "534" "BRAF" "ENST00000288602" "1201" "2480"
"278" "FUS" "ENST00000254108" "1" "1041" "DDIT3" "ENST00000547303" "124" "872"
"279" "FUS" "ENST00000254108" "1" "613" "CREB3L2" "ENST00000330387" "1121" "7412"
"280" "FUS" "ENST00000254108" "1" "628" "CREB3L2" "ENST00000330387" "1121" "7412"
"281" "FUS" "ENST00000254108" "1" "840" "CREB3L2" "ENST00000330387" "1013" "7412"
"282" "FUS" "ENST00000254108" "1" "877" "CREB3L2" "ENST00000330387" "999" "7412"
"283" "FUS" "ENST00000254108" "1" "754" "CREB3L1" "ENST00000529193" "1164" "2687"
"284" "FUS" "ENST00000254108" "1" "869" "CREB3L1" "ENST00000529193" "1047" "2687"
"285" "FUS" "ENST00000254108" "1" "867" "CREB3L2" "ENST00000330387" "1010" "7412"
